fecha_hora,url,profundidad,tipo,archivo_guardado,palabras_extraidas,notas
2026-05-04T20:25:56,https://explora.upc.edu.pe/77741-boleta-de-pago/para-el-proximo-semestre-academico-posiblemente-solo-pueda-llevar-2-cursos-en-el-primer-modulo-solo-pagaria-por-el-primer-modulo-epe,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77741-boleta-de-pago_para-el-proximo-semestre-academico-posib_d14a32c9.txt,320,"method=simple,kw=5"
2026-05-04T20:25:59,https://explora.upc.edu.pe/77741-boleta-de-pago/me-retire-de-semestre-academico-por-que-me-siguen-cobrando-las-cuotas-pregrado,1,ignorada,,0,"words=264,kw=6,method=simple"
2026-05-04T20:26:04,https://explora.upc.edu.pe/77741-boleta-de-pago/el-retiro-de-modulo-afecta-el-pago-de-mis-boletas-epe,1,ignorada,,0,"words=267,kw=4,method=simple"
2026-05-04T20:26:07,https://epe.upc.edu.pe/admision-epe/politica-de-pensiones-epe/,1,html,/tmp/upc_documents/html_text/otros/epe_upc_edu_pe_admision-epe_politica-de-pensiones-epe__c5e7bbc6.txt,303,"method=simple,kw=9"
2026-05-04T20:26:11,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFpor-qu%C3%A9-se-ha-dado-un-incremento-en-las-pensiones,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77741-boleta-de-pago__c2_bfpor-qu_c3_a9-se-ha-dado-un-increme_5b7ce971.txt,467,"method=simple,kw=5"
2026-05-04T20:26:15,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFcu%C3%A1l-es-el-importe-de-pago-por-concepto-de-matr%C3%ADcula,1,ignorada,,0,"words=221,kw=3,method=simple"
2026-05-04T20:26:19,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFc%C3%B3mo-puedo-saber-mi-categor%C3%ADa-de-pago,1,ignorada,,0,"words=297,kw=4,method=simple"
2026-05-04T20:26:22,https://explora.upc.edu.pe/77741-boleta-de-pago/en-el-programa-de-intercambio-el-pago-es-por-pension-upc-o-por-creditos,1,ignorada,,0,"words=204,kw=4,method=simple"
2026-05-04T20:26:26,https://explora.upc.edu.pe/77741-boleta-de-pago/estoy-matriculada-en-2-cursos-y-me-estan-cobrando-pension-completa-quiero-que-me-cobren-por-credito-pregrado,1,ignorada,,0,"words=230,kw=9,method=simple"
2026-05-04T20:26:31,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/%C2%BFcuales-son-los-costos-de-los-cursos-verano-2025-00/version/1?kb_language=es_ES,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos__c2_bfcuales-son-los_647bc2ac.txt,534,"method=simple,kw=9"
2026-05-04T20:26:35,https://explora.upc.edu.pe/77741-boleta-de-pago/si-me-matriculo-en-menos-de-12-creditos-el-pago-de-que-forma-se-realizaria,1,ignorada,,0,"words=286,kw=6,method=simple"
